1,2,3,4,5,6,7,8,9,10,11,12,13,14
7.72,37,124.26,3.66,3.41,0.2536,27.43926829,0.435,1.575714286,60.32738095,6.131579483,15.82402098,85.99,1
9.17,77,121.36,7.8,4.1,4.7898,29.81151943,0.373038869,1.874487633,170.0271378,2.046075682,21.8880885,96.16,1
9.17,52,121.36,2,0.74,1.7242,29.44885906,0.617905405,0.9503125,115.7072483,3.67476227,19.93216928,96.27,1
9.17,30,121.36,4.42,1.99,5.966,21.5407177,0.600382775,1.380095694,285.4545455,12.74281528,31.20189028,97.7,1
9.17,52,121.36,3.15,2.64,1.2274,29.85141892,0.405918367,0.717586207,82.91641892,2.79798859,17.11600408,85.25,1
7.72,40,124.26,7,11.18,0.6585,29.38409091,0.620454545,3.8,299.2986364,2.643438704,18.4285398,90.02,1
9.17,58,121.36,10.47,1.48,1.4809,24.80487395,0.432352941,0.690588235,124.4330252,10.61361357,28.19543903,90,1
9.17,44,121.36,2,3.48,0.1333,26.8545,0.481,0.666,69.15,4.975770213,11.92008825,75.11,1
9.17,55,121.36,3.21,3.02,3.734,28.94461929,0.521522843,1.38071066,189.565533,4.185264905,13.27363053,97.84,1
7.72,84,124.26,0,2.58,2.5208,22.20503906,0.339960938,1.720507813,98.46875,12.29190188,26.47509406,91.9,1
6.98,48,125.74,0,12.19,1.5692,28.30140845,0.496619718,1.836197183,222.9859155,5.702843726,7.551534016,37.7,1
6.2,50,127.3,0,1.03,7.2341,28.50811594,0.902086957,2.238434783,209.684058,5.848533625,34.56845243,97.8,1
7.72,140,124.26,8.89,2.94,6.4247,19.41916667,0.327808765,0.863864542,69.69488095,13.99579713,42.30446803,99.99,1
7,53,132,3.33,2.16,9.3438,25.16616,0.702654691,1.517884232,186.497505,10.25367097,37.56217313,100,1
7.72,51,124.26,9.64,2.29,11.5426,28.877725,1.036175,1.690825,288.6232,4.60799959,20.88825346,98.52,1
7.72,69,124.26,4.12,0.02,0.401,27.48714286,0.4012,1.987,80.157,6.550485669,12.82462247,100,1
8.05,67,161.7,5.54,1.84,9.5472,28.69008475,0.446062323,1.897932011,325.4161602,5.67347511,25.91564287,97.8,1
7.72,33,124.26,11.66,10.52,2.2845,29.62981481,0.46,2.204259259,211.525,1.978433715,2.392193944,97.87,1
9.17,32,121.36,8.69,3.86,3.4289,28.60709677,0.317556561,1.274615385,155.2006335,5.490890044,15.71315629,98.49,1
9.17,60,121.36,6.79,9.42,0.5177,28.28588235,1.123529412,4.488235294,315.1764706,6.280130431,17.84487074,77.4,1
7.72,62,124.26,0,2.81,0.0885,20.76375,0.56625,1.9,110.625,9.481173733,33.57208662,95.5,1
7.72,40,124.26,4.04,0.97,1.2289,29.42071429,0.364017857,1.156696429,109.8103571,4.245204972,11.91713302,98.51,1
9.17,32,121.36,3.19,4.47,1.9901,29.09286713,0.778321678,2.861818182,139.3862238,3.790851965,14.908169,98.96,1
9.17,46,121.36,2.42,5.35,1.9336,28.95833333,0.390454545,1.044545455,292.9748485,4.714721489,9.143392443,96.1,1
7.72,49,124.26,6.87,4.13,1.4127,29.4338,0.548039216,1.099313725,139.0717647,3.807583284,17.78161265,92.33,1
9.17,133,121.36,4.42,5.97,0.4292,28.87588235,0.48875,2.040625,252.4705882,3.220516377,15.40100511,77.4,1
7.72,39,124.26,7.83,2.23,0.7817,28.48980392,0.306666667,5.324117647,76.63401961,5.545123802,17.21293416,98.09,1
9.17,30,121.36,3.23,6.88,2.5231,29.77450549,0.430769231,1.652527473,277.2712088,3.146632508,21.62991154,93.34,1
7.7,29,124.26,10.57,2.34,7.7261,27.31058252,0.825873786,2.337912621,375.0533981,7.156576621,27.68888756,92.8,1
7.72,108,124.26,0,20.19,3.7367,28.13285714,1.057619048,3.184126984,600.6825397,6.53214889,16.41833457,56.9,1
7.72,67,124.26,1.27,0.36,0.3287,28.84571429,0.475,1.177857143,78.25214286,5.030309666,13.75785803,94.01,1
7.72,51,124.26,1.63,4.14,1.246,29.38696429,0.401785714,0.8925,222.4489286,3.130413809,12.17452407,66.22,1
9.17,60,121.36,3.95,3.62,14.8314,26.91911765,0.624934641,2.633660131,484.6862745,7.705198641,28.59283125,90.4,1
7.72,55,124.26,6.22,7.43,1.2204,28.27511628,0.18627907,0.317529412,142.1331395,4.877709623,10.25311127,98.06,1
7.72,43,124.26,2.2,1.13,1.245,28.33858156,0.319432624,0.439858156,88.57787234,6.41003004,20.47130975,96.5,1
9.17,90,121.36,3.72,3.8,2.6105,29.0915,0.5204,1.835,261.0544,4.566515896,33.26295297,88.04,1
9.17,40,121.36,4.94,12.34,3.1797,29.53941176,0.599705882,2.568088235,467.6033824,2.366767985,6.186561294,92.92,1
7.72,32,124.26,4.59,4.49,0.5115,28.40064516,0.306129032,2.261612903,168.2903226,5.924387977,18.95258959,99.99,1
6.5,73,82.25,7.1,1.58,0.0463,23.2075,0.46375,1.7825,59.5,10.99905418,19.08372437,93.18,1
8,92,130,10.82,5.64,11.3942,28.70934659,0.645227273,1.835369318,323.6988636,5.514423757,35.24012034,98.7,1
9.17,96,121.36,0,8.04,2.9098,28.49112903,0.471774194,2.162580645,471.6774194,5.384039286,13.56182467,92.2,1
9.17,33,121.36,3.95,2.1,0.0076,16.115,0.475,1.875,38,6.908433252,2.142533547,66.67,1
9.17,27,121.36,3.98,4.81,0.2157,27.69909091,1.089090909,3.038181818,196.0909091,7.101151251,7.136730471,20.29,1
9.17,40,121.36,9.62,2.39,0.2137,27.36705882,0.464705882,2.457058824,128.1764706,7.360043108,7.444715605,96.28,1
9.17,32,121.36,9.95,4.84,1.9941,29.82495495,0.259770992,0.839083969,152.2306107,2.874595268,4.513441314,95.54,1
7.52,56,111.95,8.26,8.03,12.6277,28.74836788,0.604559585,1.953393782,327.1374093,5.320124857,23.26989946,97.32,1
9.17,39,121.36,9.8,6.86,3.4956,29.91504587,0.468440367,2.07440367,320.7388073,1.822271488,8.065220953,94.82,1
9.17,143,121.36,0,7.75,1.3105,25.763,1.101666667,2.401666667,436.8333333,8.357129993,16.89271624,75,1
6.98,58,125.74,0,4.69,3.0847,26.36027778,0.422530864,1.091820988,94.91049383,8.289477174,22.78619888,95.7,1
9.17,35,121.36,8.25,4.03,3.6234,28.60531532,0.768198198,3.072252252,326.4345045,4.429025713,29.3028258,92.78,1
9.17,18,121.36,3.06,6.42,0.1192,26.65333333,0.486666667,1.916666667,198.6666667,5.032799089,3.204372013,74.5,1
7.72,87,124.26,3.22,2.37,1.7527,28.844,0.614639175,3.081134021,180.682268,4.777351576,15.81497215,98.3,1
6.2,74,127.3,9.3,3.3,7.465,29.15509259,0.523634259,1.675694444,172.7985417,4.434197102,30.58893977,98.6,1
9.17,30,121.36,2.93,1.97,1.3307,29.45820988,0.346419753,1.879814815,82.14240741,3.715117832,12.2436654,97.66,1
7.72,48,124.26,7.94,2.06,0.4065,27.28761905,0.678571429,2.995238095,193.4995238,6.19145371,13.78174825,93.33,1
9.17,98,121.36,3.88,2.03,0.1271,17.45722222,0.561111111,1.211111111,70.63444444,12.84809567,24.11422743,83.16,1
7.72,77,124.26,8.8,1.29,5.2954,28.49484756,0.530332326,0.846941896,159.5041566,5.649353131,30.9801395,100,0
7.72,49,124.26,3.03,6.04,2.3835,28.24561111,0.837282609,1.650434783,128.8421622,6.323923554,16.01773112,100,0
9.17,127,121.36,4.82,2.8,0.033,6.525333333,0.463333333,1.606666667,22.6,10.97915419,24.09212873,93.7,0
7.72,67,124.26,2.28,5.51,0.4167,25.02,0.310512821,1.092368421,126.7793182,11.05583672,30.20245065,97.29,0
7.72,82,124.26,4.11,1.23,2.0642,29.50990521,0.335420561,1.872383178,123.2426168,3.427869808,25.59041621,97.86,0
7.72,76,124.26,1.63,1.46,0.0801,28.21133333,0.355333333,0.468,53.85733333,6.713762908,7.952370237,90.48,0
9.17,22,121.36,6.64,1.5,6.0702,29.23030675,0.470555556,2.225802469,372.4082209,4.279618568,21.43694154,98.76,0
7.72,146,124.26,0,3.87,0.953,20.84542056,0.793224299,1.447663551,62.82827907,13.01275108,35.94737424,97.9,0
7.72,98,124.26,8.18,0.27,2.3764,24.94445255,0.686934307,2.048467153,173.7923358,10.84982366,29.1396754,100,0
9.17,117,121.36,3.46,2.5,2.7133,28.40833333,0.323333333,2.098888889,301.4777778,6.319654067,16.34693006,77.2,0
9.17,95,121.36,10.25,6.26,0.305,13.26310345,0.400689655,1.674137931,105.1724138,14.67848428,43.67371943,98.6,0
9.17,46,121.46,9.04,4.09,0.1808,26.88632353,0.585,2.506176471,143.1764706,7.092722759,19.42067881,96.4,0
9.17,59,121.36,1.84,3.11,0.0059,26.74285714,0.58060241,1.245,78.79393574,8.951558844,23.07753527,97.2,0
7.72,62,124.26,2.63,0.71,1.0488,29.5472,0.328,0.663485714,115.0133143,2.996776935,10.06881405,97.11,0
9.17,70,121.36,6.79,2.71,2.4864,23.76334928,0.500760234,2.345294118,133.1076555,12.16802423,32.68405626,100,0
9.17,107,121.36,0,4.05,0.0015,0.020218579,0,0,0.081967213,0.27351187,1.960612149,6.2,0
9.17,114,121.36,8.98,9.65,0.1146,27.5357037,0.58962963,2.15037037,278.5271739,7.512900104,21.76292353,93.9,0
9.17,107,121.36,0.81,4.47,0.1123,4.586603774,0.243301887,0.306603774,11.78301887,8.091539719,19.19843163,78.3,0
9.17,37,121.36,8.5,1.5,0.5965,7.435706522,0.250756303,0.005966387,25.23294355,12.88876537,29.60295687,82.79,0
9.17,76,121.36,7.24,4.26,3.9014,28.4747352,0.422125,0.967617555,187.1606542,6.095912514,24.44497213,97.8,0
9.17,105,121.36,11.34,1.18,2.3108,29.59358696,0.558985507,0.933227092,83.75105072,3.623416444,8.573001993,98.62,0
7.72,111,124.26,0,0.75,1.7343,19.08767123,0.355185185,1.224197531,107.0555556,13.35715596,36.18969534,94.9,0
9.17,112,121.36,4.16,2.32,0.0552,5.907910448,0.468656716,1.214179104,13.76724138,10.99760229,28.51477456,90.2,0
9.17,118,121.36,1.77,1.29,5.5026,29.67363281,0.454492188,0.97953125,214.9516797,3.299286388,20.4179332,89.29,0
7.72,60,124.26,6.4,1.17,1.928,24.16935484,0.428311688,1.371428571,119.3333333,11.12018947,38.64874131,96.2,0
7.72,128,124.26,2.19,4.32,0.9693,8.663040541,0.096829268,0.126158537,59.10365854,13.3627098,9.873577431,71.4,0
7.72,90,124.26,4.85,1.4,0.1932,3.780804598,0.125172414,0.45045977,22.20689655,9.440375956,8.04927039,47.4,0
9.17,115,121.36,3.54,9.23,4.9113,22.97919708,0.78379562,1.362043796,264.2741935,12.41385386,38.94657771,94.7,0
7.72,61,124.26,12.05,4.9,4.8264,28.72442177,0.549553073,2.064916201,299.1340782,4.498970678,16.48188044,97.4,0
7.72,78,124.26,5.31,0.56,5.3544,28.72442177,0.549553073,2.064916201,299.1340782,4.498970678,16.48188044,97.4,0
9.17,109,121.36,3.98,2.71,5.5733,26.5265798,0.456300366,1.975311355,181.5787296,9.676379892,31.65798038,98.38,0
9.17,59,121.4,8.08,4.27,4.7041,22.85756329,0.557928287,1.531513944,167.7629595,12.34351493,36.68036608,99.04,0
9.17,77,121.36,5.2,0.42,1.025,17.12965174,0.491416667,2.254166667,38.23899254,14.47904228,40.63490852,96.21,0
7.72,107,124.26,0,10.48,0.0152,10.38030568,1.167918782,2.14213198,94.2211838,14.10615765,42.99774915,98.9,0
9.17,49,121.36,6.36,1,2.5071,14.14018018,0.3789375,2.137222222,79.44859813,14.75462388,42.5870372,98.4,0
9.17,49,121.36,6.36,1,2.5071,14.14018018,0.3789375,2.137222222,79.44859813,14.75462388,42.5870372,98.4,0
9.17,62,121.36,5.67,0.45,0.1119,16.31502183,0.456521739,1.293726708,33.84192727,14.93418687,43.42395039,99.54,0
9.17,81,121.36,5.48,2.35,1.6876,8.010297872,0.192532468,1.342207792,52.12538226,12.93841126,35.26004549,97.9,0
9.17,95,121.36,0,1,2.6434,13.23448864,0.307916667,0.759652778,103.2201493,14.75686292,40.58092772,99.8,0
9.17,59,121.36,3.87,0.03,1.8497,23.06279188,0.4220625,0.903899371,109.5735294,12.36670018,28.35285504,99.99,0
9.17,92,121.36,9.25,0.68,2.2755,8.947637131,0.350364964,0.934671533,73.54193548,13.67604777,30.7649342,97.2,0
9.17,65,121.36,6.96,2.5,0.4664,20.3597417,0.389778761,1.578053097,74.25905109,13.54701267,38.30986165,93.3,0
9.17,92,121.36,3.23,4.01,4.0564,27.63472492,0.339761092,1.332439024,130.8470645,7.623443273,25.84113114,95.53,0
9.17,75,121.36,6.49,1.47,5.7204,29.33940397,0.616092715,2.596887417,378.8357616,3.702023272,17.91594462,96.99,0
9.17,72,121.36,2.17,1.37,3.2148,25.13146617,0.523735409,2.999143969,120.8716917,10.72127909,32.16950225,97.19,0
9.17,69,121.36,2.38,1.07,2.6242,24.7637,0.39964497,0.854940476,143.45955,11.34510743,28.7604564,97.06,0
7.72,73,124.26,2.43,3.54,0.2576,19.60568966,0.307758621,0.635172414,87.13298851,14.05837637,37.30820307,95.27,0
9.17,46,121.36,5.19,3.12,1.4156,29.60406863,0.555735294,0.843480392,148.2737561,3.677225691,20.09837433,96.08,0
9.17,66,121.36,3.87,1.2,0.4148,19.45164557,0.317575758,0.731212121,43.13033473,14.20856627,32.11866531,99.5,0
7.72,50,124.26,2.11,1.18,1.7499,30.12403409,0.275909091,0.388352273,99.42102273,2.124751328,10.65320737,94.74,0
7.72,36,124.26,4.56,2.47,2.4849,29.89448087,0.518907104,1.287322404,135.7810383,1.755025321,9.50364019,93.77,0
9.17,46,121.36,3.2,2.45,1.0758,15.29022831,0.422619048,1.115775401,54.93247588,14.74715023,35.75431231,93.8,0
7.72,40,124.26,2.33,0.58,1.2698,29.78932203,0.293559322,0.846610169,78.2472043,2.875159401,28.02854357,97.17,0
9.17,108,121.36,5.49,4.81,0.1188,13.74901786,0.392389937,1.016733333,42.34220408,14.54831576,41.56458825,100,0
9.17,94,121.36,7.98,1.39,0.3809,11.41284024,0.353603604,0.748738739,23.82193966,14.05090419,45.40772959,99.54,0
7.72,74,124.26,5.35,0.76,0.8084,21.60597884,0.426197183,2.470633803,42.76386243,13.12538675,34.68704376,99.15,0
9.17,82,121.36,2.59,0.53,0.0281,1.93765625,0.071801802,0.313783784,1.302158273,7.122431656,19.48804351,91.3,0
9.17,118,121.36,2.52,2.32,0.2413,7.984018692,0.447295597,0.877987421,11.9824735,13.20597403,9.921909843,50,0
9.17,83,121.36,8.88,0.82,1.4984,17.82196226,0.456868687,1.939141414,48.32948387,14.46271279,44.38788389,98.21,0
9.17,14,121.36,2.91,1.68,6.9174,27.01409449,0.422564103,2.209396552,272.4279528,8.589774402,27.90123564,96.14,0
7.72,76,124.26,4.19,2.29,4.8133,25.88680645,0.561163636,2.5924,163.4565806,9.939845437,22.53126542,100,0
7.72,27,124.26,2,0.27,0.0776,8.725957447,0.776986301,1.670547945,23.70293478,13.04819889,44.53953941,99.81,0
7.72,52,124.26,8.98,1.5,0.2509,29.43356757,0.356432432,0.954648649,121.6135135,3.886330451,13.28011319,94.95,0
9.17,59,121.36,3.92,0.72,2.0514,22.59610236,0.416766169,1.514972067,80.76070866,12.70741358,33.52352791,99.26,0
9.17,31,121.36,2.11,0.9,2.2526,22.23982379,0.630819672,0.510614754,75.36882943,12.87036426,38.31293358,98.4,0
7.72,90,124.26,1.27,1.61,2.0799,27.83670213,0.518277778,0.145480226,110.6301064,7.4846991,21.56837804,100,0
7.72,80,124.26,1.94,1.61,0.7578,15.46824903,0.372018349,0.431157407,30.00941634,14.72780251,41.08819237,98.3,0
9.17,50,121.36,7.14,2.48,0.2617,5.59626506,0.256352941,0.502470588,11.91338583,11.35836749,30.7374049,90.4,0
9.17,78,121.36,2.23,2.18,0.4537,29.5115508,0.569518717,1.568983957,114.7254545,3.864771864,21.26813736,89.9,0
9.17,68,121.36,2.83,0.71,2.5007,20.65860377,0.408478261,1.489834254,87.74740351,13.89390895,36.99919053,95.13,0
9.17,100,121.36,1.62,0.86,0.4795,12.892,0.372567568,0.623378378,29.43860697,14.38711416,34.64329154,94.07,0
9.17,31,121.36,5.33,6.14,0.483,5.921145833,0.173963964,0.399009009,17.00704225,11.73870194,30.57380224,92.1,0
9.17,105,121.36,6.54,5.38,2.7888,18.39616034,0.432274678,1.829871245,103.4643636,14.26781277,42.08689,100,0
9.17,65,121.36,1.99,2.43,2.4232,28.82789474,0.483405405,1.184162162,127.5492632,5.533347943,23.11385756,96.03,0
9.17,164,121.36,7.3,1.06,1.0282,8.466690647,0.242941176,0.79872549,69.80645161,13.27019475,42.3272797,97.3,0
9.17,56,121.36,6.25,1.77,0.0194,8.069352518,0.167829457,0.3776,5.277419355,13.08379921,35.39945745,100,0
7.72,67,124.26,4.22,5.44,1.7135,29.95146739,0.370543478,0.76451087,181.7783696,2.537406171,21.13603839,95.89,0
9.17,59,121.36,3.42,0.33,2.7928,16.58146597,0.525925926,0.954740741,113.5245528,14.73763874,35.13355855,93.71,0
